"CD","ND","NACION","HOMBRES","MUJERES","TOTAL"
" 00","TOTAL MUNICIPIO","ESPAÑOLES",7090,7217,14307
" 00","TOTAL MUNICIPIO","EXTRANJEROS",997,1097,2094
" 00","TOTAL MUNICIPIO","NO CONSTA",3,6,9
" 00","TOTAL MUNICIPIO","TOTAL POBLACION",8090,8320,16410
" 01","CASCO ANTIGUO","ESPAÑOLES",707,738,1445
" 01","CASCO ANTIGUO","EXTRANJEROS",107,117,224
" 01","CASCO ANTIGUO","TOTAL POBLACION",814,855,1669
" 02","MACARENA","ESPAÑOLES",819,822,1641
" 02","MACARENA","EXTRANJEROS",184,195,379
" 02","MACARENA","NO CONSTA",0,2,2
" 02","MACARENA","TOTAL POBLACION",1003,1019,2022
" 03","NERVION","ESPAÑOLES",515,527,1042
" 03","NERVION","EXTRANJEROS",45,61,106
" 03","NERVION","TOTAL POBLACION",560,588,1148
" 04","CERRO-AMATE","ESPAÑOLES",833,841,1674
" 04","CERRO-AMATE","EXTRANJEROS",200,190,390
" 04","CERRO-AMATE","NO CONSTA",1,1,2
" 04","CERRO-AMATE","TOTAL POBLACION",1034,1032,2066
" 05","SUR","ESPAÑOLES",807,786,1593
" 05","SUR","EXTRANJEROS",87,111,198
" 05","SUR","TOTAL POBLACION",894,897,1791
" 06","TRIANA","ESPAÑOLES",562,544,1106
" 06","TRIANA","EXTRANJEROS",64,103,167
" 06","TRIANA","NO CONSTA",1,0,1
" 06","TRIANA","TOTAL POBLACION",627,647,1274
" 07","NORTE","ESPAÑOLES",613,652,1265
" 07","NORTE","EXTRANJEROS",54,47,101
" 07","NORTE","TOTAL POBLACION",667,699,1366
" 08","S. PABLO-STA. JUSTA","ESPAÑOLES",527,563,1090
" 08","S. PABLO-STA. JUSTA","EXTRANJEROS",63,72,135
" 08","S. PABLO-STA. JUSTA","NO CONSTA",0,1,1
" 08","S. PABLO-STA. JUSTA","TOTAL POBLACION",590,636,1226
" 09","ESTE","ESPAÑOLES",916,922,1838
" 09","ESTE","EXTRANJEROS",120,93,213
" 09","ESTE","NO CONSTA",1,0,1
" 09","ESTE","TOTAL POBLACION",1037,1015,2052
" 10","BELLAVISTA-LA PALMERA","ESPAÑOLES",488,531,1019
" 10","BELLAVISTA-LA PALMERA","EXTRANJEROS",51,60,111
" 10","BELLAVISTA-LA PALMERA","NO CONSTA",0,2,2
" 10","BELLAVISTA-LA PALMERA","TOTAL POBLACION",539,593,1132
" 11","LOS REMEDIOS","ESPAÑOLES",303,291,594
" 11","LOS REMEDIOS","EXTRANJEROS",22,48,70
" 11","LOS REMEDIOS","TOTAL POBLACION",325,339,664
